﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02GB001,1,1913/09/26,9.63,
02GB001,1,1913/09/27,8.92,
02GB001,1,1913/09/28,9.49,
02GB001,1,1913/09/29,10.1,
02GB001,1,1913/09/30,8.50,
02GB001,1,1913/10/01,9.49,
02GB001,1,1913/10/02,11.8,
02GB001,1,1913/10/03,12.6,
02GB001,1,1913/10/04,11.3,
02GB001,1,1913/10/05,10.1,
02GB001,1,1913/10/06,12.6,
02GB001,1,1913/10/07,11.3,
02GB001,1,1913/10/08,12.2,
02GB001,1,1913/10/09,12.6,
02GB001,1,1913/10/10,11.8,
02GB001,1,1913/10/11,10.8,
02GB001,1,1913/10/12,12.2,
02GB001,1,1913/10/13,11.3,
02GB001,1,1913/10/14,13.6,
02GB001,1,1913/10/15,7.79,
02GB001,1,1913/10/16,12.2,
02GB001,1,1913/10/17,12.2,
02GB001,1,1913/10/18,13.9,
02GB001,1,1913/10/19,11.8,
02GB001,1,1913/10/20,15.1,
02GB001,1,1913/10/21,16.1,
02GB001,1,1913/10/22,14.6,
02GB001,1,1913/10/23,16.7,
02GB001,1,1913/10/24,19.5,
02GB001,1,1913/10/25,25.9,
02GB001,1,1913/10/26,23.8,
02GB001,1,1913/10/27,21.2,
02GB001,1,1913/10/28,20.7,
02GB001,1,1913/10/29,20.0,
02GB001,1,1913/10/30,19.5,
02GB001,1,1913/10/31,18.3,
02GB001,1,1913/11/01,18.7,
02GB001,1,1913/11/02,18.7,
02GB001,1,1913/11/03,15.6,
02GB001,1,1913/11/04,15.6,
02GB001,1,1913/11/05,18.7,
02GB001,1,1913/11/06,18.1,
02GB001,1,1913/11/07,14.9,
02GB001,1,1913/11/08,18.7,
02GB001,1,1913/11/09,18.1,
02GB001,1,1913/11/10,29.7,
02GB001,1,1913/11/11,30.6,
02GB001,1,1913/11/12,29.7,
02GB001,1,1913/11/13,24.5,
02GB001,1,1913/11/14,24.9,
02GB001,1,1913/11/15,27.2,
02GB001,1,1913/11/16,29.2,
02GB001,1,1913/11/17,25.9,
02GB001,1,1913/11/18,24.5,
02GB001,1,1913/11/19,27.2,
02GB001,1,1913/11/20,77.6,
02GB001,1,1913/11/21,144,
02GB001,1,1913/11/22,92.3,
02GB001,1,1913/11/23,76.5,
02GB001,1,1913/11/24,103,
02GB001,1,1913/11/25,75.9,
02GB001,1,1913/11/26,58.9,
02GB001,1,1913/11/27,49.0,
02GB001,1,1913/11/28,40.5,
02GB001,1,1913/11/29,34.8,
02GB001,1,1913/11/30,29.7,
02GB001,1,1913/12/01,25.9,
02GB001,1,1913/12/02,21.0,
02GB001,1,1913/12/03,27.2,
02GB001,1,1913/12/04,24.5,
02GB001,1,1913/12/05,24.5,
02GB001,1,1913/12/06,23.5,
02GB001,1,1913/12/07,23.2,
02GB001,1,1913/12/08,18.7,
02GB001,1,1913/12/09,18.7,
02GB001,1,1913/12/10,18.7,
02GB001,1,1913/12/11,23.6,
02GB001,1,1913/12/12,21.8,
02GB001,1,1913/12/13,17.0,
02GB001,1,1913/12/14,19.5,
02GB001,1,1913/12/15,15.0,
02GB001,1,1913/12/16,16.1,
02GB001,1,1913/12/17,16.6,
02GB001,1,1913/12/18,17.8,
02GB001,1,1913/12/19,19.5,
02GB001,1,1913/12/20,19.5,
02GB001,1,1913/12/21,16.1,
02GB001,1,1913/12/22,14.9,
02GB001,1,1913/12/23,32.3,
02GB001,1,1913/12/24,16.6,
02GB001,1,1913/12/25,21.8,
02GB001,1,1913/12/26,21.0,
02GB001,1,1913/12/27,18.7,
02GB001,1,1913/12/28,17.0,
02GB001,1,1913/12/29,16.6,
02GB001,1,1913/12/30,18.1,
02GB001,1,1913/12/31,15.6,
02GB001,1,1914/01/01,14.9,
02GB001,1,1914/01/02,14.6,
02GB001,1,1914/01/03,14.9,
02GB001,1,1914/01/04,14.0,
02GB001,1,1914/01/05,14.9,
02GB001,1,1914/01/06,16.6,
02GB001,1,1914/01/07,14.9,
02GB001,1,1914/01/08,15.6,
02GB001,1,1914/01/09,14.9,
02GB001,1,1914/01/10,14.0,
02GB001,1,1914/01/11,14.9,
02GB001,1,1914/01/12,13.2,
02GB001,1,1914/01/13,13.2,
02GB001,1,1914/01/14,14.6,
02GB001,1,1914/01/15,18.7,
02GB001,1,1914/01/16,17.8,
02GB001,1,1914/01/17,14.9,
02GB001,1,1914/01/18,16.6,
02GB001,1,1914/01/19,21.0,
02GB001,1,1914/01/20,19.5,
02GB001,1,1914/01/21,18.7,
